threads_count;matrix_size;t1;t2;t_all;mse;residual_norm;
8;300;0.0258501;0.00158191;0.027432;2.8678e-10;2.731e-16;
4;300;0.049314;0.001369;0.050683;2.87016e-10;3.74702e-16;
2;300;0.093286;0.00110984;0.0943959;2.86786e-10;3.22049e-16;
1;300;0.156246;0.000452995;0.156699;2.86306e-10;1.70789e-16;
32;300;0.034235;0.00814795;0.042383;1.07369e-10;9.39788e-17;
2;1000;2.85061;0.00651193;2.85712;1.47628e-09;8.83358e-16;
16;300;0.057498;0.0086329;0.0661309;4.78645e-10;2.90336e-16;
1;1000;5.52986;0.00460792;5.53446;1.47466e-09;4.2339e-16;
8;1000;0.86632;0.00534296;0.871663;1.92833e-08;5.15232e-16;
16;1000;0.477038;0.00895905;0.485997;4.49676e-09;4.2005e-16;
4;1000;1.42954;0.00839901;1.43794;4.49751e-09;4.81987e-16;
32;1000;0.35228;0.0105741;0.362854;1.19282e-08;2.21893e-16;
8;3000;19.2444;0.022099;19.2665;1.74416e-07;1.05795e-15;
4;3000;37.3463;0.036839;37.3831;1.74416e-07;6.27035e-16;
32;3000;6.58203;0.0308101;6.61284;9.9258e-08;5.15542e-16;
2;3000;75.8933;0.0430179;75.9363;1.71798e-08;9.38195e-16;
16;3000;35.9217;0.0918021;56.0135;1.62601e-07;2.23681e-16;
1;3000;153.258;0.040678;153.298;4.95838e-08;1.69415e-15;
4;6000;314.593;0.09306;314.686;2.08723e-07;2.21296e-15;
16;6000;183.8854;0.0551879;83.9406;2.069e-07;7.44544e-16;
32;6000;122.603;0.089353;222.833;2.21252e-06;3.16842e-16;
2;6000;666.324;0.157723;666.481;1.30734e-07;1.15126e-15;
8;6000;483.582;0.139796;883.922;1.07545e-05;7.7194e-16;
1;6000;2071.03;0.159995;2071.19;1.30568e-07;1.80826e-15;
